ts,match_id,room_id,turn_index,actor_id,enemy_id,chosen_action_kind,chosen_skill_id,chosen_action_group,dmg_to_enemy,heal_to_self,effect_applied,enemy_hp_after,actor_hp_after,battle_finished,winner_id,actor.type,actor.level,actor.hp,actor.hp_pct,actor.power,actor.attack,actor.defense,actor.dmg_min,actor.dmg_max,actor.atk_boost_min,actor.atk_boost_max,actor.pct_damage,actor.pct_crit,actor.pct_evade,actor.pct_resist,actor.pct_escape,actor.pct_negate,enemy.type,enemy.level,enemy.hp,enemy.hp_pct,enemy.power,enemy.attack,enemy.defense,enemy.dmg_min,enemy.dmg_max,enemy.atk_boost_min,enemy.atk_boost_max,enemy.pct_damage,enemy.pct_crit,enemy.pct_evade,enemy.pct_resist,enemy.pct_escape,enemy.pct_negate,mask.num_specials_valid_off,mask.num_specials_valid_def,mask.num_support_valid,mask.num_masters_valid_off,mask.num_masters_valid_def,mask.num_masters_support
2025-09-03T20:40:54.604Z,yyy-1756932040216,yyy,1,playerA,IA,BASIC_ATTACK,,offense,3,0,DAMAGE,169,172,false,,MACHETE_ROGUE,5,172,4.7778,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,172,4.7778,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:40:56.659Z,yyy-1756932040216,yyy,2,playerA,IA,SPECIAL_SKILL,CORTADA,offense,10,0,DAMAGE,159,169,false,,MACHETE_ROGUE,5,169,4.6944,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,169,4.6944,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:40:58.690Z,yyy-1756932040216,yyy,3,playerA,IA,BASIC_ATTACK,,offense,3,0,DAMAGE,156,161,false,,MACHETE_ROGUE,5,161,4.4722,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,159,4.4167,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:00.725Z,yyy-1756932040216,yyy,4,playerA,IA,SPECIAL_SKILL,CORTADA,offense,4,0,DAMAGE,152,154,false,,MACHETE_ROGUE,5,154,4.2778,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,156,4.3333,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:02.774Z,yyy-1756932040216,yyy,5,playerA,IA,BASIC_ATTACK,,offense,6,0,DAMAGE,146,146,false,,MACHETE_ROGUE,5,146,4.0556,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,152,4.2222,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:04.814Z,yyy-1756932040216,yyy,6,playerA,IA,SPECIAL_SKILL,CORTADA,offense,5,0,DAMAGE,141,141,false,,MACHETE_ROGUE,5,141,3.9167,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,146,4.0556,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:06.856Z,yyy-1756932040216,yyy,7,playerA,IA,BASIC_ATTACK,,offense,4,0,DAMAGE,137,132,false,,MACHETE_ROGUE,5,132,3.6667,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,141,3.9167,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:08.889Z,yyy-1756932040216,yyy,8,playerA,IA,SPECIAL_SKILL,CORTADA,offense,7,0,DAMAGE,130,127,false,,MACHETE_ROGUE,5,127,3.5278,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,137,3.8056,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:10.922Z,yyy-1756932040216,yyy,9,playerA,IA,BASIC_ATTACK,,offense,1,0,DAMAGE,129,119,false,,MACHETE_ROGUE,5,119,3.3056,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,130,3.6111,38,50,40,3,10,1,10,55,10,5,10,0,20,0,0,0,0,0,0
2025-09-03T20:41:12.956Z,yyy-1756932040216,yyy,10,playerA,IA,SPECIAL_SKILL,CORTADA,offense,9,0,DAMAGE,120,116,false,,MACHETE_ROGUE,5,116,3.2222,40,50,40,1,8,1,10,55,10,5,10,0,20,MACHETE_ROGUE,5,129,3.5833,40,50,40,1,8,1,10,55,10,5,10,0,20,0,0,0,0,0,0
